	line	signal
2020-01-03	0.0	
2020-01-06	0.0	0.0
2020-01-09	0.0	0.0
2020-01-12	0.0	0.0
2020-01-15	0.0	0.0
2020-01-18	0.0	0.0
2020-01-21	0.0	0.0
2020-01-24	0.0	0.0
2020-01-27	0.0	0.0
2020-01-30	0.0	0.0
2020-02-02	0.0	0.0
2020-02-05	0.0	0.0
2020-02-08	0.0	0.0
2020-02-11	0.0	0.0
2020-02-14	0.0	0.0
2020-02-17	0.0	0.0
2020-02-20	0.0	0.0
2020-02-23	0.0	0.0
2020-02-26	0.0	0.0
2020-02-29	0.0	0.0
2020-03-03	0.0	0.0
2020-03-06	2.017668659037715	0.0
2020-03-09	1.4136382370785845	2.017668659037715
2020-03-12	0.7554100830308168	1.4136382370785845
2020-03-15	0.19287600375515834	0.7554100830308168
2020-03-18	-0.27837335705727534	0.19287600375515834
2020-03-21	-0.6415686585634481	-0.27837335705727534
2020-03-24	-0.8954215679827993	-0.6415686585634481
2020-03-27	-1.0144392544426153	-0.8954215679827993
2020-03-30	-0.9904853708357658	-1.0144392544426153
2020-04-02	-0.8237919354813937	-0.9904853708357658
2020-04-05	-0.5383281845354486	-0.8237919354813937
2020-04-08	-0.18760829637310072	-0.5383281845354486
2020-04-11	0.25786962916818823	-0.18760829637310072
2020-04-14	0.7601683436791908	0.25786962916818823
2020-04-17	1.2594043520573506	0.7601683436791908
2020-04-20	1.7398562665241593	1.2594043520573506
2020-04-23	2.1239293938864545	1.7398562665241593
2020-04-26	2.159461793986794	2.1239293938864545
2020-04-29	1.9856330716452992	2.159461793986794
2020-05-02	1.844499886556443	1.9856330716452992
2020-05-05	1.7263698362248423	1.844499886556443
2020-05-08	1.6355266849562125	1.7263698362248423
2020-05-11	1.5358069942608619	1.6355266849562125
2020-05-14	1.209565191056263	1.5358069942608619
2020-05-17	0.6865781120074772	1.209565191056263
2020-05-20	0.056769251491982545	0.6865781120074772
2020-05-23	-0.5469791289053182	0.056769251491982545
2020-05-26	-1.1017221880308419	-0.5469791289053182
2020-05-29	-1.6126588559553838	-1.1017221880308419
2020-06-01	-2.090406749937567	-1.6126588559553838
2020-06-04	-2.5446325568292583	-2.090406749937567
2020-06-07	-2.982717346843851	-2.5446325568292583
