	line	signal
2020-06-25	-4.047011578519318	-5.282801436112469
2020-09-17	-2.935131112918729	-3.1139333158517184
2020-10-08	-3.60741537449319	-3.6819757463609912
2020-12-04	4.742441819290422	4.609963404426086
2021-01-06	2.9166030871465587	2.8111927452355374
2021-03-28	-5.18442229436177	-5.374551308120561
2021-04-12	-5.713500082954524	-6.252424896242413
2021-05-06	-5.329410986675832	-6.316072934155413
2021-06-08	-5.522056709123814	-8.005778576804515
2021-06-23	-3.98287753328301	-4.308906487974416
2021-07-14	-3.318676990225868	-3.9762709642043155
2021-09-15	5.4428850855420166	5.314190699491288
2021-11-14	-3.6446688693760314	-3.684638401568655
2021-11-20	-2.420798346031151	-3.77529871470278
2021-12-05	-0.9665507216160945	-1.2733036298342457
2022-01-07	1.572241341703385	1.460919544994218
2022-04-10	-5.742577231924808	-5.782319201499591
2022-05-01	-6.661550140418152	-6.824719161154591
2022-05-22	-3.4286160881236714	-3.540534489054089
2022-06-09	-0.7670923466797036	-1.0417368764922512
2022-06-24	-0.553401757575728	-0.682662868760944
2022-07-12	1.1771964927433796	1.0141411579985267
2022-08-05	2.9094714721239807	2.7198102896750385
2022-09-16	-1.2024138450029298	-1.3970352324307953
2022-09-28	-1.0993741991207355	-1.2848664834798542
2022-10-22	-1.4253633337382272	-2.3300790502997177
2022-11-27	-1.3939632615762374	-1.488551931136609
2022-12-09	-1.4323358164452138	-2.306728646861093
2023-01-11	1.236442480589666	0.9761198685080164
2023-02-28	-1.0007331552507903	-1.094577934196112
2023-03-27	-1.137348182008078	-1.2773816023951368
2023-04-11	-1.1682855345683354	-1.471817530496863
2023-05-11	-1.0951213702926288	-1.1619174263661862
