	line	signal
2020-03-09	1.4136382370785845	2.017668659037715
2020-04-29	1.9856330716452992	2.159461793986794
2020-07-04	-5.143279937821494	-4.957368880465389
2020-08-30	2.526787441511707	2.692710110243694
2020-10-29	-4.21234665151136	-4.0585064676113225
2020-11-16	-4.524592797242141	-4.388517496354316
2021-01-03	3.8675202860211995	3.8692998294716103
2021-02-20	4.7642539176398815	6.3120925692091205
2021-06-11	3.755169309789941	4.923510583643862
2021-07-23	-2.340704437153254	-2.29610381095148
2021-10-06	5.046966120708036	5.881633974364963
2021-10-27	3.64813898227289	5.3234921893051315
2021-11-26	-1.692669779541054	-1.638898658655732
2021-12-08	-2.3565441445028212	-2.1459337648316743
2021-12-20	-2.7899588317832547	-2.599795808014502
2022-03-05	3.7817205783587426	3.9374104951319433
2022-03-17	3.347928849110324	4.521160190982583
2022-07-09	0.8044775679654589	0.9360622290311336
2022-07-30	0.6861771692088674	0.7378086603631366
2022-09-04	4.607267940440989	4.633590769315105
2022-10-07	5.497868238262984	7.989068050626362
2022-11-03	2.651182473267908	3.299703462538427
2022-11-30	-2.264632906189813	-2.058518508172357
2022-12-18	-2.376033459604833	-2.3531689267999347
2023-01-08	-2.2809745833157073	-2.146302156492988
2023-02-07	2.6278791738685037	2.685383001443097
2023-02-16	2.5635067335383397	2.7199924146369314
2023-03-30	1.4591400331318627	1.6025889520914247
2023-04-17	0.7108131875480421	0.9471465314008138
