	line	signal
2020-04-24	5.364678282983882	6.06159783569764
2020-08-10	2.5894643342836274	2.6391496824493093
2020-09-21	-1.9715185217520241	-1.884849769371922
2020-09-30	-2.2595958040524056	-2.0411631232431353
2020-11-26	4.004834987896817	4.6148044023675165
2020-12-23	4.33402556132929	5.366460228182986
2021-01-19	2.668630119030988	3.224023640223324
2021-04-19	-2.9820544439180576	-2.851408461536537
2021-05-07	-4.101674027215095	-3.992957899654489
2021-06-06	-2.0412275681756746	-1.95264837473036
2021-09-25	6.686374735590126	8.095282298653853
2021-12-30	0.6033230035447574	0.6414679645170625
2022-02-04	3.944825572604265	3.996610928908914
2022-05-14	-1.892284617081225	-1.8686537571522641
2022-06-01	-0.9931648395496396	-0.8514279717185889
2022-06-16	-0.6997347199259976	-0.655912002922375
2022-07-04	-0.39078799586731194	-0.05419127473579592
2022-08-15	1.9313425661414678	2.47589305926412
2022-08-24	1.515946357305821	1.6238310431359428
2022-10-05	-0.8574915101734234	-0.7674187602869891
2022-10-29	-1.6417410721666772	-1.6233148613748976
2022-11-28	-0.9896800240721105	-0.7871415084117377
2022-12-25	1.3855953625030595	1.7549534673707163
2023-01-27	1.7961941310614922	2.1859416917843473
