	line	signal
2020-04-15	3.6752885840084795	4.4749521242552985
2020-07-29	4.556354496145537	5.1059329666755255
2020-11-26	5.653465282026963	7.6772756129868345
2020-12-20	4.443120478599406	4.9853653426968485
2021-01-13	1.9871801785841308	2.0178088031776786
2021-03-02	-4.848847718057328	-4.6690480256035105
2021-04-19	1.408541345900446	1.4934418123623239
2021-06-09	-5.64954533826954	-5.51242885636862
2021-09-04	5.563794743606033	7.500550563945573
2021-11-27	0.07443252177190945	0.23041044974004565
2022-01-17	4.824451957042376	6.337470883980151
2022-04-02	-6.618807691254151	-6.425399416436491
2022-05-23	4.1084507613261625	4.587378949573168
2022-06-07	2.3034775554892812	2.3064905971518925
2022-07-04	0.6096429873538247	0.6439490839730364
2022-07-22	1.4724727445930572	1.544790448635138
2022-08-03	1.3487884516939233	1.8190332251422914
2022-09-14	-3.2059395372817034	-3.0953748465944493
2022-09-29	-3.7389545222961953	-3.5512866368178457
2022-10-20	-4.980097627125711	-4.919112999548387
2022-11-25	0.6459492878207794	0.8903058701768007
2022-12-25	2.7747545937753424	3.148632360760729
2023-01-12	1.0174479046875033	1.6353763079435737
2023-02-08	-2.175999948689802	-2.006861715632646
