	line	signal
2020-03-30	-0.9904853708357658	-1.0144392544426153
2020-06-28	-4.993438825227015	-5.4746953296974725
2020-07-10	-4.877334658632419	-5.439775371287464
2020-10-20	-4.786067678150797	-5.066058852502671
2020-11-10	-4.526573294863757	-5.215304356306067
2020-11-22	-3.725311606328944	-4.79693721100058
2021-01-15	2.113708225360702	2.0780308031405528
2021-04-21	-4.784809250566026	-5.562127823325895
2021-07-20	-2.29610381095148	-2.346761476473467
2021-08-10	-3.0780097209073887	-3.1840229431003646
2021-10-15	4.3384284348185265	4.204264425842542
2021-11-20	-1.9257276483251962	-2.128947796889193
2021-12-05	-2.1459337648316743	-2.1693107211474976
2021-12-17	-2.599795808014502	-2.6506561655772094
2022-01-16	-5.136603010965137	-5.562639970062364
2022-03-08	3.9110255441564403	3.7817205783587426
2022-05-25	-5.930474766799867	-7.490993830480691
2022-07-21	0.2635138365978903	0.20109801593740217
2022-08-05	0.8653899052932446	0.6111097267953554
2022-09-07	4.798543705813067	4.607267940440989
2022-10-25	2.6085792898656703	2.3909599576994456
2022-11-27	-2.058518508172357	-2.094934629724806
2022-12-09	-2.83147730654096	-2.9559398510488304
2022-12-30	-2.4558680347741655	-2.6752540490152654
2023-01-11	-1.3683686060844722	-2.2809745833157073
2023-02-10	2.6597553578377697	2.6278791738685037
2023-03-12	-0.6439844025543647	-0.8837685928088026
2023-04-08	0.5047500952299306	0.4041753319085897
2023-05-05	-0.36329754591778596	-0.40389374878065704
