	line	signal
2020-02-17	-0.3368687836941979	-0.3465841671893718
2020-06-13	-3.2226453771924652	-3.590765672328839
2020-09-17	-3.6717820005767274	-4.617271506102897
2020-12-10	3.8467049840331207	3.6725138511105233
2021-01-06	1.2849046996001419	1.1643865081801736
2021-02-26	-4.646486364440013	-4.652152022624021
2021-03-22	-5.634815800363587	-6.290904740720729
2021-06-11	-5.722481315844661	-6.214761966389685
2021-06-23	-5.912196241959092	-6.15619394635757
2021-10-30	-4.098438542319801	-4.738013958939737
2022-03-26	-6.233027594284431	-6.61918084235138
2022-06-12	3.04261861359763	2.9630103388224054
2022-06-27	1.2205063854197684	1.1892378629950926
2022-07-12	1.7335421037112169	1.5626763606200544
2022-10-22	-5.944503137690166	-9.779404752461632
2023-01-11	1.039204100425954	1.0379953205095982
2023-02-25	-3.3153055932143594	-4.885980626136794
2023-03-30	-1.5281840762500336	-1.6223553137534044
2023-04-14	-1.2239410512872144	-1.2996974885666512
2023-05-14	-0.9943770519178252	-1.0153202527644698
